word1        ,word2         ,human(mean),Cos                  ,Jac    ,DKL     ,v2v cbow,v2v skip_gram
bank         ,money         ,8.12       ,0.03105              ,0.00469,0.00513 ,0.95148 ,0.77242
wood         ,forest        ,7.73       ,0.0                  ,0.01667,0.00081 ,0.91935 ,0.56827
money        ,cash          ,9.15       ,0.0504               ,0.00725,0.00448 ,0.96063 ,0.81453
professor    ,cucumber      ,0.31       ,0.02623              ,0.00971,0.00621 ,0.67131 ,0.46144
king         ,cabbage       ,0.23       ,0.0                  ,0.04348,0.00115 ,0.9201  ,0.88015
king         ,queen         ,8.58       ,0.14348              ,0.03572,0.00103 ,0.79786 ,0.8398
holy         ,sex           ,1.62       ,0.0                  ,0.01667,0.0002  ,0.1647  ,0.28251
fuck         ,sex           ,9.44       ,0.0                  ,0.01852,0.00871 ,0.08185 ,0.53742
football     ,basketball    ,6.81       ,0.0                  ,0.02381,0.00208 ,0.89066 ,0.90474
football     ,tennis        ,6.63       ,0.0                  ,0.02381,0.00208 ,0.08219 ,0.94202
law          ,lawyer        ,8.38       ,0.07578              ,0.01031,0.00386 ,0.95133 ,0.89209
movie        ,star          ,7.38       ,0.05461              ,0.00683,0.00591 ,0.87087 ,0.58393
movie        ,critic        ,6.73       ,0.03188              ,0.00568,0.00673 ,0.74492 ,0.3591
space        ,chemistry     ,4.88       ,0.0345               ,0.00287,0.0129  ,0.81871 ,0.64286
alcohol      ,chemistry     ,5.54       ,0.0                  ,0.07692,0.00014 ,0.94179 ,0.88698
drink        ,car           ,3.04       ,0.03229              ,0.00333,0.00063 ,0.83917 ,0.72768
drink        ,ear           ,1.31       ,0.011090000000000001 ,0.02   ,0.00067 ,0.92502 ,0.7684
drink        ,mouth         ,5.96       ,0.0                  ,0.02381,0.00075 ,0.92469 ,0.78441
drink        ,eat           ,6.87       ,0.1186               ,0.03572,0.00047 ,0.95521 ,0.87296
baby         ,mother        ,7.85       ,0.00905              ,0.01493,0.0033  ,0.96222 ,0.89372
drink        ,mother        ,2.65       ,0.02924              ,0.03572,0.00079 ,0.95158 ,0.94342
car          ,automobile    ,8.94       ,0.01067              ,0.00345,0.01139 ,0.8432  ,0.71755
gem          ,jewel         ,8.96       ,0.0                  ,0.03846,0.00109 ,0.6812  ,0.85991
journey      ,voyage        ,9.29       ,0.05559              ,0.01493,0.00209 ,0.86841 ,0.78591
coast        ,shore         ,9.1        ,0.0                  ,0.05882,0.00111 ,0.29095 ,0.98208
food         ,fruit         ,7.52       ,0.00725              ,0.00794,0.00517 ,0.92391 ,0.72204
bird         ,crane         ,7.38       ,0.0                  ,0.01724,0.00209 ,0.83327 ,0.82827
tool         ,implement     ,6.46       ,0.08559              ,0.00196,0.01207 ,0.77322 ,0.59176
crane        ,implement     ,2.69       ,0.02292              ,0.00704,0.00025 ,0.76597 ,0.72828
journey      ,car           ,5.85       ,0.04833              ,0.00301,0.00062 ,0.88874 ,0.60452
coast        ,hill          ,4.38       ,0.0                  ,0.03572,0.00105 ,0.98444 ,0.94278
coast        ,forest        ,3.15       ,0.0                  ,0.03333,0.0009  ,0.88861 ,0.63758
chord        ,smile         ,0.54       ,0.0                  ,0.03846,0.00013 ,0.97502 ,0.65344
glass        ,magician      ,2.08       ,0.0                  ,0.01724,0.00302 ,0.62074 ,0.50884
noon         ,string        ,0.54       ,0.0                  ,0.01639,0.00015 ,0.60717 ,0.70658
money        ,dollar        ,8.42       ,0.12537              ,0.01242,0.004   ,0.90772 ,0.82406
money        ,cash          ,9.08       ,0.0504               ,0.00725,0.00448 ,0.96063 ,0.81453
money        ,currency      ,9.04       ,0.051629999999999995 ,0.00826,0.00456 ,0.84899 ,0.7853
money        ,wealth        ,8.27       ,0.06619              ,0.00662,0.00429 ,0.94374 ,0.83571
money        ,property      ,7.57       ,0.05412              ,0.00437,0.00387 ,0.94864 ,0.54395
money        ,bank          ,8.5        ,0.03105              ,0.00469,0.00401 ,0.95148 ,0.77242
money        ,deposit       ,7.73       ,0.0                  ,0.0087 ,0.00471 ,0.93168 ,0.77995
money        ,operation     ,3.31       ,0.08025              ,0.00309,0.00329 ,0.67195 ,0.34549
tiger        ,mammal        ,6.85       ,0.0                  ,0.1111 ,0.0003  ,0.78741 ,0.97701
tiger        ,animal        ,7.0        ,0.0                  ,0.01087,0.0952  ,0.73057 ,0.85183
tiger        ,organism      ,4.77       ,0.0                  ,0.14286,0.00027 ,0.76908 ,0.97692
tiger        ,zoo           ,5.87       ,0.0                  ,0.07692,0.00029 ,0.82857 ,0.6725
psychology   ,anxiety       ,7.0        ,0.0                  ,0.01786,0.00256 ,0.6387  ,0.53334
psychology   ,fear          ,6.85       ,0.01112              ,0.00741,0.00207 ,0.83601 ,0.59768
psychology   ,depression    ,7.42       ,0.0                  ,0.01695,0.00255 ,0.72176 ,0.45817
psychology   ,clinic        ,6.58       ,0.0                  ,0.01852,0.00257 ,0.72474 ,0.54684
psychology   ,doctor        ,6.42       ,0.0                  ,0.00877,0.00228 ,0.77311 ,0.64026
psychology   ,mind          ,7.69       ,0.0415               ,0.00317,0.00109 ,0.77451 ,0.44643
psychology   ,health        ,7.23       ,0.01859              ,0.01163,0.00238 ,0.74578 ,0.49864
psychology   ,science       ,6.71       ,0.08285              ,0.00499,0.00032 ,0.72976 ,0.71763
psychology   ,discipline    ,5.58       ,0.04086              ,0.00847,0.00214 ,0.90719 ,0.84907
psychology   ,cognition     ,7.48       ,0.03265              ,0.0101 ,0.00228 ,0.81219 ,0.5756
planet       ,star          ,8.45       ,0.04541              ,0.0102 ,0.00201 ,0.82636 ,0.57296
planet       ,moon          ,8.08       ,0.0695               ,0.025  ,0.00248 ,0.9586  ,0.953
planet       ,sun           ,8.02       ,0.0788               ,0.0125 ,0.00251 ,0.98358 ,0.84898
planet       ,galaxy        ,8.11       ,0.04506              ,0.03704,0.00279 ,0.93648 ,0.95472
planet       ,space         ,7.92       ,0.06544              ,0.00259,0.00079 ,0.8818  ,0.77599
precedent    ,example       ,5.85       ,0.01766              ,0.00146,0.00319 ,0.93195 ,0.60377
precedent    ,information   ,3.85       ,0.0373               ,0.00195,0.0022  ,0.95555 ,0.72293
precedent    ,cognition     ,2.81       ,0.04867              ,0.01852,0.00013 ,0.92342 ,0.88814
precedent    ,law           ,6.65       ,0.0                  ,0.0119 ,0.00029 ,0.81258 ,0.78757
precedent    ,collection    ,2.5        ,0.0                  ,0.00833,0.00013 ,0.93029 ,0.76695
precedent    ,group         ,1.77       ,0.04072              ,0.0041 ,0.00083 ,0.93832 ,0.76076
cup          ,coffee        ,6.58       ,0.021                ,0.01961,0.00092 ,0.979   ,0.92285
cup          ,article       ,2.4        ,0.018000000000000002 ,0.00484,0.00083 ,0.46368 ,0.49276
cup          ,artifact      ,2.92       ,0.0                  ,0.08   ,0.00111 ,0.83867 ,0.88864
cup          ,object        ,3.69       ,0.01209              ,0.00316,0.00022 ,0.82655 ,0.56981
cup          ,entity        ,2.15       ,0.02798              ,0.00741,0.00053 ,0.95752 ,0.78376
cup          ,drink         ,7.25       ,0.01941              ,0.02941,0.00104 ,0.94988 ,0.91404
cup          ,food          ,5.0        ,0.00585              ,0.00769,0.00058 ,0.94857 ,0.769
cup          ,substance     ,1.92       ,0.0                  ,0.0303 ,0.00107 ,0.95263 ,0.93569
cup          ,liquid        ,5.9        ,0.09937              ,0.02326,0.0009  ,0.98564 ,0.89387
energy       ,secretary     ,1.81       ,0.0                  ,0.0101 ,0.00486 ,0.97459 ,0.82226
energy       ,laboratory    ,5.09       ,0.055139999999999995 ,0.00935,0.00476 ,0.86932 ,0.8259
computer     ,laboratory    ,6.78       ,0.03557              ,0.00169,0.01892 ,0.68017 ,0.59182
weapon       ,secret        ,6.06       ,0.0                  ,0.02564,0.0006  ,0.95657 ,0.93914
investigation,effort        ,4.59       ,0.0221               ,0.00585,0.00025 ,0.94002 ,0.78815
news         ,report        ,8.16       ,0.04435              ,0.00313,0.00704 ,0.85741 ,0.70583
image        ,surface       ,4.56       ,0.06031              ,0.00475,0.02353 ,0.68671 ,0.40408
discovery    ,space         ,6.34       ,0.034730000000000004 ,0.00253,0.0008  ,0.7882  ,0.58559
mile         ,kilometer     ,8.66       ,0.24702              ,0.03333,0.00112 ,0.81751 ,0.9802
computer     ,news          ,4.47       ,0.09941              ,0.00256,0.01696 ,0.81417 ,0.45288
territory    ,surface       ,5.34       ,0.0                  ,0.01316,0.3981  ,0.97472 ,0.896
record       ,number        ,6.31       ,0.07511              ,0.00287,0.00076 ,0.65471 ,0.61378
skin         ,eye           ,6.22       ,0.026430000000000002 ,0.01163,0.00016 ,0.95998 ,0.80404
volunteer    ,motto         ,2.56       ,0.08507              ,0.07692,0.00047 ,0.8644  ,0.95873
prejudice    ,recognition   ,3.0        ,0.04351              ,0.00431,0.00822 ,0.76834 ,0.62761
century      ,year          ,7.59       ,0.10106              ,0.00164,0.0013  ,0.85303 ,0.60446
century      ,nation        ,3.16       ,0.0                  ,0.00719,0.00484 ,0.931   ,0.9137
delay        ,news          ,3.31       ,0.0073700000000000015,0.00465,0.0001  ,0.80537 ,0.58207
peace        ,plan          ,4.75       ,0.0                  ,0.00926,0.00033 ,0.96558 ,0.84142
minority     ,peace         ,3.69       ,0.0                  ,0.06667,0.00078 ,0.97695 ,0.80842
attempt      ,peace         ,4.25       ,0.0                  ,0.00662,0.00573 ,0.91123 ,0.78875
government   ,crisis        ,6.56       ,0.01015              ,0.00855,0.00546 ,0.94009 ,0.78697
deployment   ,departure     ,4.25       ,0.03893              ,0.025  ,0.00122 ,0.8762  ,0.78217
energy       ,crisis        ,5.94       ,0.014740000000000001 ,0.00971,0.00484 ,0.95863 ,0.84907
announcement ,news          ,7.56       ,0.03243              ,0.00465,0.00028 ,0.84436 ,0.67444
announcement ,effort        ,2.75       ,0.03152              ,0.00562,0.2381  ,0.76478 ,0.69785
stroke       ,hospital      ,7.03       ,0.0                  ,0.01695,0.0009  ,0.95996 ,0.9058
disability   ,death         ,5.47       ,0.04463              ,0.02632,0.00013 ,0.91162 ,0.93376
victim       ,emergency     ,6.47       ,0.0                  ,0.05882,0.00058 ,0.92414 ,0.91299
treatment    ,recovery      ,7.91       ,0.0                  ,0.03448,0.00142 ,0.90817 ,0.92609
journal      ,association   ,4.97       ,0.01551              ,0.01695,0.0021  ,0.91299 ,0.61105
doctor       ,personnel     ,5.0        ,0.0                  ,0.01493,0.00319 ,0.78477 ,0.81039
doctor       ,liability     ,5.19       ,0.0                  ,0.01449,0.00318 ,0.95949 ,0.83397
liability    ,insurance     ,7.03       ,0.0                  ,0.02778,0.00029 ,0.94797 ,0.96325
school       ,center        ,3.44       ,0.09328              ,0.00439,0.00413 ,0.69169 ,0.53907
reason       ,criterion     ,5.91       ,0.06715              ,0.00379,0.008   ,0.95078 ,0.79353
hundred      ,percent       ,7.38       ,0.03768              ,0.00513,0.00504 ,0.9073  ,0.72219
hospital     ,infrastructure,4.63       ,0.04643              ,0.00633,0.0018  ,0.78263 ,0.74369
death        ,row           ,5.25       ,0.055979999999999995 ,0.0051 ,0.00075 ,0.82719 ,0.49939
lawyer       ,evidence      ,6.69       ,0.0                  ,0.01042,0.00075 ,0.92991 ,0.8136
life         ,death         ,7.88       ,0.0288               ,0.00581,0.01279 ,0.81363 ,0.80148
life         ,term          ,4.5        ,0.07537              ,0.00279,0.01001 ,0.48787 ,0.33806
word         ,similarity    ,4.75       ,0.09475              ,0.00309,0.01769 ,0.78193 ,0.57717
board        ,recommendation,4.47       ,0.07647000000000001  ,0.00602,0.00365 ,0.81879 ,0.65891
peace        ,insurance     ,2.94       ,0.0                  ,0.03226,0.0     ,0.97168 ,0.95474
territory    ,kilometer     ,5.28       ,0.0                  ,0.09091,0.00021 ,0.77016 ,0.96392
travel       ,activity      ,5.0        ,0.05384              ,0.00412,0.00469 ,0.80407 ,0.86801
competition  ,price         ,6.44       ,0.03907              ,0.00308,0.00377 ,0.63122 ,0.39497
consumer     ,confidence    ,4.13       ,0.03915              ,0.00532,0.00508 ,0.8133  ,0.57962
consumer     ,energy        ,4.75       ,0.04749              ,0.00444,0.00474 ,0.86022 ,0.74122
problem      ,airport       ,2.38       ,0.004                ,0.0016 ,0.02078 ,0.83518 ,0.45078
car          ,flight        ,4.94       ,0.0                  ,0.00347,0.01142 ,0.62288 ,0.69788
credit       ,card          ,8.06       ,0.16044              ,0.01   ,0.00232 ,0.85786 ,0.77296
credit       ,information   ,5.31       ,0.04842              ,0.00174,0.00062 ,0.88361 ,0.52742
hotel        ,reservation   ,8.03       ,0.030180000000000002 ,0.0101 ,0.00264 ,0.96023 ,0.87996
grocery      ,money         ,5.94       ,0.0                  ,0.0087 ,700000.0,0.91698 ,0.76144
registration ,arrangement   ,6.0        ,0.0                  ,0.03125,0.00017 ,0.57755 ,0.89932
arrangement  ,accommodation ,5.41       ,0.01865              ,0.01887,0.00136 ,0.95163 ,0.9299
month        ,hotel         ,1.81       ,0.02344              ,0.00778,0.00741 ,0.8645  ,0.60334
type         ,kind          ,8.97       ,0.13502999999999998  ,0.00145,0.00823 ,0.97866 ,0.80512
arrival      ,hotel         ,6.0        ,0.0                  ,0.01471,0.00072 ,0.95079 ,0.89695
bed          ,closet        ,6.72       ,0.01704              ,0.02222,0.00192 ,0.92485 ,0.93437
closet       ,clothes       ,8.0        ,0.09034              ,0.03125,0.00078 ,0.97967 ,0.93669
situation    ,conclusion    ,4.81       ,0.03196              ,0.0045 ,0.00608 ,0.9483  ,0.72482
situation    ,isolation     ,3.88       ,0.05385              ,0.00521,0.00621 ,0.96775 ,0.82142
direction    ,combination   ,2.25       ,0.08061              ,0.003  ,0.00456 ,0.90503 ,0.81341
street       ,place         ,6.44       ,0.04844              ,0.00271,0.00146 ,0.88269 ,0.67721
street       ,avenue        ,8.88       ,0.014980000000000004 ,0.01429,0.00312 ,0.95247 ,0.86784
street       ,block         ,6.88       ,0.04265              ,0.00508,0.00241 ,0.86391 ,0.5498
listing      ,proximity     ,2.56       ,0.0                  ,0.04762,0.00187 ,0.88569 ,0.98272
listing      ,category      ,6.38       ,0.02392              ,0.00508,0.00112 ,0.95077 ,0.80956
cell         ,phone         ,7.81       ,0.13995              ,0.00557,0.00501 ,0.95865 ,0.72711
production   ,hike          ,1.75       ,0.02165              ,0.0084 ,0.00556 ,0.25089 ,0.81357
benchmark    ,index         ,4.25       ,0.02984              ,0.00535,0.0011  ,0.93417 ,0.65519
dividend     ,payment       ,7.63       ,0.0                  ,0.01429,0.00019 ,0.96507 ,0.85457
dividend     ,calculation   ,6.48       ,0.0                  ,0.01031,0.00027 ,0.93488 ,0.8277
calculation  ,computation   ,8.44       ,0.1138               ,0.0066 ,0.00232 ,0.87438 ,0.75084
currency     ,market        ,7.5        ,0.02416              ,0.00366,0.00015 ,0.7928  ,0.71265
oil          ,stock         ,6.34       ,0.02688              ,0.00847,0.00096 ,0.89156 ,0.73998
announcement ,production    ,3.38       ,0.0129               ,0.00775,0.00015 ,0.90437 ,0.81841
announcement ,warning       ,6.0        ,0.028319999999999998 ,0.02174,0.00057 ,0.84275 ,0.86808
profit       ,warning       ,3.88       ,0.010320000000000001 ,0.0125 ,0.00216 ,0.98416 ,0.9118
profit       ,loss          ,7.63       ,0.05451              ,0.00318,0.00093 ,0.50989 ,0.55542
dollar       ,buck          ,9.22       ,0.045689999999999995 ,0.01471,0.003   ,0.95434 ,0.80927
dollar       ,profit        ,7.38       ,0.00976              ,0.00971,0.00289 ,0.90842 ,0.79606
dollar       ,loss          ,6.09       ,0.02125              ,0.00313,0.0019  ,0.54373 ,0.49254
computer     ,software      ,8.5        ,0.17553              ,0.00209,0.01435 ,0.94793 ,0.55259
network      ,hardware      ,8.31       ,0.09542              ,0.00185,0.02591 ,0.19132 ,0.36657
phone        ,equipment     ,7.13       ,0.02325              ,0.00461,0.00799 ,0.9533  ,0.66664
equipment    ,maker         ,5.91       ,0.0                  ,0.01587,0.00143 ,0.95789 ,0.73402
luxury       ,car           ,6.47       ,0.08612              ,0.00658,0.00059 ,0.82041 ,0.75081
five         ,month         ,3.38       ,0.1026               ,0.00311,0.00331 ,0.87142 ,0.8464
report       ,gain          ,3.63       ,0.04963              ,0.00441,0.00491 ,0.90002 ,0.53453
investor     ,earning       ,7.13       ,0.04476              ,0.01471,0.0029  ,0.97118 ,0.85264
liquid       ,water         ,7.89       ,0.12195              ,0.03125,0.00088 ,0.97491 ,0.91789
baseball     ,season        ,5.97       ,0.0                  ,0.04   ,0.00022 ,0.73972 ,0.94335
game         ,victory       ,7.03       ,0.0552               ,0.00427,0.01416 ,0.88719 ,0.55308
game         ,team          ,7.69       ,0.07382000000000001  ,0.00132,0.01187 ,0.58956 ,0.17057
game         ,series        ,6.19       ,0.13723              ,0.00289,0.01189 ,0.84033 ,0.37648
game         ,defeat        ,6.97       ,0.05135              ,0.00219,0.01431 ,0.9465  ,0.53386
seven        ,series        ,3.56       ,0.07291              ,0.00741,0.00022 ,0.90834 ,0.48903
seafood      ,sea           ,7.47       ,0.0                  ,0.05556,0.00019 ,0.63399 ,0.88156
seafood      ,food          ,8.34       ,0.06429              ,0.0087 ,0.00036 ,0.78257 ,0.79105
food         ,preparation   ,6.22       ,0.02841              ,0.01408,0.00502 ,0.97399 ,0.79463
video        ,archive       ,6.34       ,0.00937              ,0.00247,0.01304 ,0.88386 ,0.56944
start        ,year          ,4.06       ,0.11205              ,0.00111,0.00881 ,0.65351 ,0.32463
start        ,match         ,4.47       ,0.0683               ,0.00173,0.01187 ,0.86214 ,0.55968
game         ,round         ,5.97       ,0.04102              ,0.00198,0.01392 ,0.82188 ,0.36013
boxing       ,round         ,7.61       ,0.02075              ,0.01493,0.00028 ,0.9633  ,0.71048
fighting     ,defeating     ,7.41       ,0.0                  ,0.05263,0.0004  ,0.70648 ,0.90124
line         ,insurance     ,2.69       ,0.03271              ,0.00266,0.01109 ,0.73727 ,0.52359
day          ,summer        ,3.94       ,0.07555              ,0.00253,0.01374 ,0.78369 ,0.71218
summer       ,nature        ,5.63       ,0.01746              ,0.005  ,0.00047 ,0.90102 ,0.69578
day          ,dawn          ,7.53       ,0.075                ,0.0051 ,0.01374 ,0.74493 ,0.6853
nature       ,environment   ,8.31       ,0.06662              ,0.00458,0.00647 ,0.91469 ,0.6765
environment  ,ecology       ,8.81       ,0.00577              ,0.0037 ,0.00909 ,0.89153 ,0.57825
nature       ,man           ,6.25       ,0.04521              ,0.00286,0.00692 ,0.6557  ,0.48836
man          ,woman         ,8.3        ,0.09211              ,0.00667,0.00693 ,0.33132 ,0.47853
life         ,lesson        ,5.94       ,0.03632              ,0.00295,0.01281 ,0.86937 ,0.67133
focus        ,life          ,4.06       ,0.09305              ,0.00164,0.0073  ,0.78321 ,0.50072
television   ,film          ,7.72       ,0.0                  ,0.01587,0.00011 ,0.95932 ,0.75182
possibility  ,girl          ,1.94       ,0.00818              ,0.00763,0.00472 ,0.92589 ,0.74606
population   ,development   ,3.75       ,0.02882              ,0.00299,0.00272 ,0.57586 ,0.415
morality     ,importance    ,3.31       ,0.02306              ,0.0101 ,0.00039 ,0.8724  ,0.85938
morality     ,marriage      ,3.69       ,0.06647              ,0.0303 ,0.00066 ,0.9895  ,0.95476
change       ,attitude      ,5.44       ,0.0                  ,0.00225,0.01439 ,0.6291  ,0.77898
family       ,planning      ,6.25       ,0.00507              ,0.00758,0.00419 ,0.88289 ,0.72843
practice     ,institution   ,3.19       ,0.03543              ,0.00498,0.00607 ,0.89535 ,0.84966
problem      ,challenge     ,6.75       ,0.17006              ,0.00231,0.01752 ,0.92557 ,0.69636
country      ,citizen       ,7.31       ,0.01775              ,0.00943,0.00433 ,0.95813 ,0.89429
planet       ,people        ,5.75       ,0.04312              ,0.00139,0.0017  ,0.66381 ,0.65682
development  ,issue         ,3.97       ,0.08025              ,0.00196,0.00757 ,0.66695 ,0.47562
experience   ,music         ,3.47       ,0.1147               ,0.00166,0.01208 ,0.91841 ,0.65712
music        ,project       ,3.63       ,0.09854              ,0.00161,0.00599 ,0.93128 ,0.68609
glass        ,metal         ,5.56       ,0.0                  ,0.0125 ,0.00291 ,0.77948 ,0.64388
chance       ,credibility   ,3.88       ,0.02841              ,0.00893,0.00458 ,0.93417 ,0.82127
observation  ,architecture  ,4.38       ,0.05416              ,0.00201,0.00304 ,0.62361 ,0.43414
space        ,world         ,6.53       ,0.12968              ,0.0022 ,0.00775 ,0.63535 ,0.4873
admission    ,ticket        ,7.69       ,0.0                  ,0.05263,0.01225 ,0.94165 ,0.94398
weather      ,forecast      ,8.34       ,0.187                ,0.01739,0.00205 ,0.9796  ,0.84711
disaster     ,area          ,6.25       ,0.05742              ,0.00365,0.0005  ,0.93972 ,0.69063
architecture ,century       ,3.78       ,0.04593              ,0.01907,0.01166 ,0.41958 ,0.41924
